,exg_xchng_cd,exg_xchng_nm,exg_pr_opntm,exg_opn_tm,exg_nxt_trd_dt,exg_mtch_bnk_accnt,exg_dpid_pl_accnt,exg_dpclnt_pl_accnt,exg_crrnt_stts,exg_cls_tm,exg_ccid,exg_brkr_id,exg_mkt_typ,exg_min_trd_val,exg_brkr_stts,exg_exrc_rq_opn_tm,exg_exrc_rq_cls_tm,exg_exrc_mkt_stts,exg_pyin_pyout_bnk_accnt,exg_mg_mnt_bnk_accnt,exg_dsclsd_prcntg,exg_max_pswd_vld_days,exg_settlor_id,exg_settlor_stts,exg_gtd_valid_days,exg_sec_tm,exg_part_tm,exg_inst_tm,exg_idx_tm,exg_def_stlmnt_pd,exg_wrn_pcnt,exg_vol_frz_pcnt,exg_brd_lot_qty,exg_tck_sz,exg_gtc_dys,exg_dsclsd_qty_pcnt,exg_trd_splt_dt,exg_ofln_nxt_trd_dt,exg_ofln_stts,exg_brkr_name,exg_ctcl_id,exg_tm_diff,exg_sett_off_flg,exg_dl_dwnld_allwd,exg_extnd_mrkt_stts,exg_ver_no,exg_pr_clstm,exg_cls_prc_upd_dt,exg_cdsl_dpid_pl_accnt,exg_cdsl_dpclnt_pl_accnt,exg_sp_pr_opntm,exg_sp_pr_clstm,exg_sp_pr_mkt_stts,exg_prc_rng_upd_dt,exg_tmp_trd_dt,exg_tmp_mkt_stts,exg_mkt_max_val,exg_lmt_max_val,exg_max_mrgnpls_xcptn_allwd,exg_max_cum_opnord_val,exg_mcas_mkt_stts,exg_cls_stts,exg_nsdl_pl_dpid,exg_maxordr_skip_cnt,exg_cmit_fail_cnt
0,BFO,BSE - Exchange                ,915,915,2024-09-03,20082,1       ,,O,1530,,8051 ,D,500.0,A,1000,1615,O,000405100961,,100.0,14,,A,6,2024-09-02,2024-09-02,2024-09-02,2024-09-02,10,8224.0,8224.0,200,5,0,100.0,2008-03-03,2003-06-25,O,IBSL,111111111111,0.0,N,N,O,,908.0,,16014301,00001024,0.0,0.0,,,2024-09-03,O,50000000.0,50000000.0,,500000000.0,X,N,,,3.0
1,BSE,BSE - Exchange                ,900,915,2024-09-03,20081,IN563583,13632245,O,1830,IN001002,8051 ,E,15.0,,0,0,X,,,0.0,10,,,0,1990-12-03,1990-12-03,1990-12-03,1990-12-03,0,0.0,0.0,0,0,0,0.0,2024-08-27,1990-12-03,,,,0.0014814815,N,Y,,74500,908.0,2024-07-11 12:32:32,16014301,00001024,900.0,1800.0,C,2024-07-05 21:52:41,2024-07-05,,75000000.0,75000000.0,20.0,500000000.0,X,,,,
2,NSE,National Stock Exchange       ,900,915,2024-09-03,20081,IN563583,13632245,O,1830,IN001002,07730,E,15.0,,0,0,X,,,0.0,10,,,0,1990-01-01,1990-01-01,1990-01-01,1990-01-01,7,0.0,100.0,100,5,0,0.1,2024-08-27,1990-01-01,,ICICI SECURITIES,,0.0,N,Y,,77300,908.0,2024-07-11 12:32:32,16014301,00001024,900.0,1800.0,C,2024-07-05 21:57:56,2024-07-08,,75000000.0,75000000.0,20.0,500000000.0,X,,,,
3,BDX,BSE Currency Derivatives      ,900,900,2024-06-28,BDX110876,1       ,,C,1700,,103  ,X,500.0,A,1830,1700,X,000405110876,,0.0,10,,A,0,2024-04-26,2024-04-26,2024-04-26,2024-04-26,10,50.0,82.24,1,0,0,0.1,2016-02-18,2016-02-18,,ICICI SECURITIES LTD,111111111111,0.0,N,Y,,,908.0,,16014301,00001024,0.0,0.0,,2019-12-09 22:55:45,,,30000000.0,30000000.0,,750000000.0,X,N,,,3.0
4,NDX,NSE Currency Derivatives      ,900,900,2024-06-28,CDS670,1       ,,C,2000,,07730,X,500.0,A,1830,1700,X,000405070670,,0.0,10,,A,0,2024-06-26,2024-06-26,2024-06-26,2024-06-26,60,0.0,0.0,983040,0,0,0.0,2009-08-05,2009-08-05,,ICICI SECURITIES LTD,111111111111,0.0,N,Y,,34900,908.0,,16014301,00001024,0.0,0.0,,,,,420000000.0,420000000.0,,2000000000.0,X,N,,,3.0
5,NCD,NCDEX                         ,955,1000,2024-06-28,2000000011,123456  ,,C,2355,,00034,C,500.0,,10,2345,C,12345       ,,10.0,365,P0001,A,7,2008-12-23,2008-12-23,2008-12-23,2008-12-23,10,82.24,82.24,1,5,7,0.1,2008-02-19,2008-02-19,,ICICI Comm Trade Limited,13284,1.15741e-05,N,Y,,,,,,,,,,,,,,,,,X,N,,,3.0
6,MCO,MCX Derivative exchange       ,900,900,2024-09-03,20086,10      ,,O,2330,,72250,C,500.0,A,956,2330,O,000405117015,,25.0,90,,A,0,2024-09-02,2024-09-02,2024-09-02,2024-09-02,10,8224.0,8224.0,200,5,0,25.0,2020-06-01,2002-10-14,C,IBSL,111111111111,0.0,N,N,X,,908.0,,16014301,00001024,0.0,0.0,,,2024-09-03,X,99999999999999.0,9999999999999.0,,999999999999.0,,N,,,3.0
7,NFO,National Stock Exchange       ,915,915,2024-09-03,20086,1       ,,O,2359,,07730,D,500.0,A,1000,1615,O,000405008178,,100.0,10,,A,6,2024-09-02,2024-09-02,2024-09-02,2024-09-02,10,8224.0,8224.0,200,5,0,100.0,2008-03-03,2003-06-25,O,IBSL,111111111111,0.0,N,N,O,16100,908.0,,16014301,00001024,0.0,0.0,,,2024-09-03,O,5000000000.0,1000000000.0,,150000000.0,X,N,,,3.0
